training,seed,eval_coordinates,ROI_F1,semantic_F1,accuracy,NLL,ECE15,scope
C_GTTRAIN,17,GT_centered,0.23900226757369616,0.5922029760520809,0.64,1.4226897954940796,0.19050967613855999,matched conditional detector-heldfold0
C_GTTRAIN,17,Stage1_centered,0.21826330532212884,0.5475260921232789,0.6,1.4515026807785034,0.146475949883461,matched conditional detector-heldfold0
C_GTTRAIN,29,GT_centered,0.21753968253968256,0.5277805667508184,0.5733333333333334,1.4021797180175781,0.10924008965492248,matched conditional detector-heldfold0
C_GTTRAIN,29,Stage1_centered,0.19968253968253968,0.4855629735425132,0.5466666666666666,1.3764334917068481,0.14792802393436433,matched conditional detector-heldfold0
C_GTTRAIN,43,GT_centered,0.2255422168867547,0.5552105011991941,0.6,1.3996933698654175,0.12077985485394796,matched conditional detector-heldfold0
C_GTTRAIN,43,Stage1_centered,0.2083503401360544,0.5068410186304924,0.5733333333333334,1.3794034719467163,0.15352481762568157,matched conditional detector-heldfold0
C_STAGE1TRAIN,17,GT_centered,0.24471655328798186,0.6045699228307925,0.6533333333333333,1.396969199180603,0.16050316214561464,matched conditional detector-heldfold0
C_STAGE1TRAIN,17,Stage1_centered,0.20326330532212883,0.5164249639249638,0.5733333333333334,1.4455325603485107,0.1489503530661265,matched conditional detector-heldfold0
C_STAGE1TRAIN,29,GT_centered,0.21039682539682542,0.5181203337725078,0.5733333333333334,1.3711615800857544,0.11934932192166646,matched conditional detector-heldfold0
C_STAGE1TRAIN,29,Stage1_centered,0.22063492063492066,0.5247339693106283,0.5866666666666667,1.3691726922988892,0.15369859258333843,matched conditional detector-heldfold0
C_STAGE1TRAIN,43,GT_centered,0.23554221688675475,0.5902064765300059,0.6266666666666667,1.3929980993270874,0.1696432109673818,matched conditional detector-heldfold0
C_STAGE1TRAIN,43,Stage1_centered,0.21930272108843543,0.5500074332272474,0.5866666666666667,1.3928828239440918,0.13248253206412,matched conditional detector-heldfold0
