family,seed,ROI_F1,semantic_F1,NLL,ECE15,gap
F_A3,17,0.22297619047619044,0.5355938505938506,1.5013275146484375,0.13103641236298963,0.3521960044786132
F_A3,29,0.22111111111111112,0.5484337884337884,1.3056923151016235,0.08902277640606228,0.3889282062966274
F_A3,43,0.23833333333333337,0.5800082206795761,1.3965457677841187,0.11855124348872588,0.36228402955385053
F_GAUSSIAN,17,0.2517857142857143,0.5966662980981867,1.4412832260131836,0.1436850679548163,0.2548857772774181
F_GAUSSIAN,29,0.23253968253968252,0.5861260568300547,1.2298712730407715,0.1497513945949705,0.3421274635287287
F_GAUSSIAN,43,0.2336904761904762,0.5718018575851394,1.3252644538879395,0.08037904767613661,0.37958563074352547
F_MASK,17,0.2116300366300366,0.5041182099634112,1.4344053268432617,0.14960558124278717,0.38102814522938355
F_MASK,29,0.23849206349206353,0.5955974749887794,1.220354437828064,0.11371034266133058,0.33451501972897857
F_MASK,43,0.23448717948717954,0.5527253938012453,1.295032262802124,0.15535379436455274,0.3946366009291705
F_CLS_MASK,17,0.20777777777777778,0.5459246465384574,1.4210395812988281,0.13227741635943716,0.3775169119031011
F_CLS_MASK,29,0.20778911564625852,0.5439446124248459,1.2601425647735596,0.1311302153687728,0.3857274801884232
F_CLS_MASK,43,0.2248701298701299,0.5276093885830193,1.351241111755371,0.10819450314891967,0.4098918002865908
F_SHUFFLE,17,0.20974025974025973,0.4835518207282913,1.4699019193649292,0.20342382710230977,0.4372426788897379
F_SHUFFLE,29,0.22706349206349205,0.5793803418803419,1.2725512981414795,0.15197186152401723,0.3723298971983181
F_SHUFFLE,43,0.20891774891774895,0.48324115971174786,1.384325623512268,0.12881655834223094,0.4195114079819964
F_CLS_SHUFFLE,17,0.1925830332132853,0.5019829877724614,1.4386078119277954,0.18318885094241094,0.44672821330716084
F_CLS_SHUFFLE,29,0.20921150278293138,0.5161760461760462,1.2979379892349243,0.1197843024213063,0.4358952262048238
F_CLS_SHUFFLE,43,0.23558441558441562,0.5334180278281911,1.4049774408340454,0.11378204626472371,0.41410822369806044
